Subject,Verb,Object
Мотря,виходила,його
Мотря,дивилась,його
Мотря,жила,-
Мотря,вийшла,хати
Мотря,обізвалась,-
Мотря,стояла,хатою
Мотря,сказала,-
Мотря,подала,руки
Мотря,підставила,глиняника
Мотря,крикнула,двір
Мотря,крикнула,-
Мотря,задріботіла,-
Мотря,блиснула,рядками
Мотря,сіпнула,глиняника
Мотря,сказала,-
Мотря,пішла,хату
Мотря,сказала,-
Мотря,сказала,-
Мотря,махнула,віхтем
Мотря,промовила,-
Мотря,крикнула,-
Мотря,крикнула,-
Мотря,замахнулась,Карпа
Мотря,крикнула,двір
Мотря,нахилилась,-
Мотря,вхопила,землі
Мотря,замахнулась,-
Мотря,бачила,-
Мотря,замахнулась,віхтем
Мотря,опустила,руку
Мотря,говорила,-
Мотря,крикнула,собі
Мотря,сказала,-
Мотря,прибиралась,неділю
Мотря,сказала,-
Мотря,була,неї
Мотря,вбралася,спідницю
Мотря,підперезалась,поясом
Мотря,попускала,кінці
Мотря,одяглась,зелений
Мотря,взулась,чоботи
Мотря,наділа,-
Мотря,взяла,руки
Мотря,пішла,церкви
Мотря,ішла,двір
Мотря,йшла,гору
Мотря,увійшла,браму
Мотря,перейшла,вишнями
Мотря,стала,дверей
Мотря,затулила,губи
Мотря,одтулила,їх
Мотря,одказала,-
Мотря,побігла,греблю
Мотря,сховалась,вербами
Мотря,прийшла,квітках
Мотря,пішла,танець
Мотря,повела,собою
Мотрю,почала брати,-
Мотря,Пішла,-
Мотря,лузала,насіння
Мотря,сказала,-
Мотря,стала,собі
Мотря,стала,-
Мотря,сказала,-
Мотря,крутнулась,ним
Мотря,цуралася,Карпа
Мотря,терла,грушею
Мотря,обізвалась,садка
Мотря,переставали ворушити,-
Мотря,обізвалась,-
Мотря,ввійшла,хату
Мотря,стала,порога
Мотря,поставила,стіл
Мотря,підвела,будущу
Мотря,постерегла,патоку
Мотря,почала поратись,-
Мотря,взяла,чарку
Мотря,промовила,слів
Мотря,притулила,чарку
Мотря,одвела,її
Мотря,одвернулась,-
Мотря,одвернулась,порога
Мотря,засміялась,-
Мотря,напрягла,яєчні
Мотря,подала,стіл
Мотря,прокинулась,-
Мотря,розчовпала,сон
Мотря,встала,-
Мотря,розпалила,печі
Мотря,приставила,чавун
Мотря,пішла,-
Мотря,видоїла,корову
Мотря,процідила,цідилок
Мотря,погнала,череди
Мотря,заходилась чистить,-
Мотря,охала,сну
Мотря,наклала,горщик
Мотря,поглядала,свекруху
Мотря,постерегла,погляд
Мотря,замітала,сіни
Мотря,промовила,голосом
Мотря,подавала,обід
Мотря,сиділа,столом
Мотря,спускала,очі
Мотря,почала мити,обіді
Мотря,видержала,-
Мотря,підняла,голос
Мотря,замовкла,-
Мотря,кинула,лаву
Мотря,задумалась,-
Мотря,таківських,-
Мотря,йняла,віри
Мотря,поглядала,свекруху
Мотря,здержувала,язика
Мотря,одрізала,-
Мотря,одрубала,-
Мотря,замовчуватиме,-
Мотря,підмазала,стіни
Мотря,обмазала,комин
Мотря,глянула,комин
Мотря,вдержувала,язика
Мотря,поглядала,свекруху
Мотря,встала,-
Мотря,засвітила,світло
Мотря,розпалила,челюстях
Мотря,сіла,печі
Мотря,напряла,півпочинка
Мотря,почала приставлять,-
Мотря,стала оджимать,-
Мотря,вимела,хати
Мотрю,взяла,злість
Мотря,натомилась,роботи
Мотря,одрубала,-
Мотря,обізвалась,-
Мотря,скрутила,сорочку
Мотря,крикнула,собі
Мотря,промовила,-
Мотря,крикнула,-
Мотря,сказала,зуби
Мотря,поскладала,плаття
Мотря,пішла прати,-
Мотря,прала,сорочки
Мотря,прийшла,смерком
Мотря,склала,їх
Мотря,зрозуміла,зітхання
Мотря,кинулась насипать,-
Мотря,одійшла,-
Мотря,згорнула,руки
Мотря,зітхнула,собі
Мотря,стала,мисника
Мотря,стояла,мисника
Мотря,рушила,місця
Мотря,дивилась,все
Мотря,стояла,місці
Мотря,стояла,мисника
Мотря,чула,-
Мотря,замітала,дня
Мотря,виглянула,крадькома
Мотря,крикнула,-
Мотря,поралась,хаті
Мотря,глянула,разу
Мотря,говорила,сама
Мотря,прокинулась,-
Мотря,обзивалась,-
Мотря,застогнала,достоту
Мотря,крикнула,собі
Мотря,перестали свариться,-
Мотря,повставали,собі
Мотря,вимітала,хати
Мотря,поглядала,все
Мотря,одімкнула,скриню
Мотря,витягла,сорочку
Мотря,сіла латать,собі
Мотря,обізвалася,-
Мотря,почала,голосом
Мотря,сказала,голосом
Мотря,сиділа,вікна
Мотря,плутала,ниткою
Мотря,вважала,Кайдашиху
Мотря,здавалось,неї
Мотря,вимазала,сіни
Мотря,помила,лави
Мотря,змовчувала,свекрусі
Мотря,говорила,-
Мотря,ждала,святками
Мотря,витягла,день
Мотря,пішла,хижку
Мотря,наділа,спідницю
Мотря,ввійшла,хату
Мотря,походжала,все
Мотря,розправляла,фалди
Мотря,сказала,-
Мотря,стала,Кайдашихою
Мотря,розтягла,руками
Мотря,промовила,-
Мотря,хотілось одкраяти,їй
Мотря,почала вговорювать,-
Мотря,просилась,-
Мотря,взяла,її
Мотря,розгорнула,хустку
Мотря,сказала,-
Мотря,кинула,хустку
Мотря,розгорнула,її
Мотря,одійшла,стола
Мотря,мовчала,-
Мотря,жала,-
Мотря,заробила,Карпом
Мотря,обродинилась,-
Мотря,ненавиділа,голос
Мотря,стала,-
Мотря,мусила робити,-
Мотря,спитала,-
Мотря,сказала,-
Мотря,одвернулась,вікна
Мотря,заплакала,часу
Мотря,взяла,полотно
Мотря,швиргонула,його
Мотря,достала,скрині
Мотря,плюнула,-
Мотря,покинула шити,-
Мотря,поцяцькувала,рукава
Мотря,Пошила,сорочку
Мотря,випрала,-
Мотря,наділа,-
Мотря,подумала,-
Мотря,подумала,-
Мотря,стала прясти,часу
Мотря,одрубала,-
Мотря,пильнувала,гребеня
Мотря,випряла,пряжва
Мотря,витягла,дня
Мотря,взяла,мотовило
Мотря,хотіла мотать,-
Мотря,сказала,-
Мотря,одказала,-
Мотря,крикнула,собі
Мотря,ухопила,мотовило
Мотря,крикнула,-
Мотря,сіпнула,себе
Мотря,кричала,-
Мотря,тягла,себе
Мотря,сказала,-
Мотря,сказала,-
Мотря,винна,-
Мотря,злякалась,-
Мотря,ciлa,лаві
Мотря,згорнула,руки
Мотря,дивилась,піч
Мотря,промовила,-
Мотря,промовила,-
Мотря,глянула,мотовила
Мотря,витягла,обіді
Мотря,позбирала,дня
Мотря,намочила,лузі
